title,subscription_id,channel_id
Republic World,Q_Ha2Du0saXhDvSQl7wMbO-49Fe3xk3ix3nx_BNhY9I,UCwqusr8YDwM-3mEYTDeJHzw
CNN-News18,Q_Ha2Du0saXuWJGo5UsssSFixzGL7k01VtUfSAeGlrQ,UCef1-8eOpJgud7szVPlZQAQ
Endless Love,Q_Ha2Du0saUdfSBKjfxoRpUdpG67m7gPECe1dXj2pHs,UCH8x9zAJbpfipmHosNuwu_A
Tilak,Q_Ha2Du0saWF1z_Rf5-95NrR6m-to6C9bxrAXxRSfcY,UCFMFB7_Ik8jBnCwSuh295wA
ChinmayaChannel,Q_Ha2Du0saXuWJGo5UsssRTPjys1sBFJXlPc9dqsteo,UCtDAJiFT4sy42oNPA8zo0sw
Pen  Bhakti,Q_Ha2Du0saXYcHaudThkszmv7gO8f6Q_aiw68MDMwOY,UCHKGDg0GJKBsA9mFraDOLHA
Dolly in New Zealand 🇳🇿,Q_Ha2Du0saXuWJGo5UsssVtwQn6RzUorUvj0VDlYNHE,UC1vkYyMFLEkQvXXEL-LTElw
Ak Education System,Q_Ha2Du0saUvZlCSPzIwiLZu-t6ighj_acvKS3uPMwQ,UCGp9yW8JhhN2qrZJJEwzq4Q
Brut India,Q_Ha2Du0saXYcHaudThkswTmUnBqVnEPY9TO3sU7ehk,UCCgQaXjsJ6EdFPZeTFQoSyw
S2 Shiksha Siddhant,Q_Ha2Du0saXYcHaudThksxcM9eOfNzBWyNVvDinZD7s,UCMlRdkVJKREeocSkjxLf3rA
Leon van Zyl,Q_Ha2Du0saXuWJGo5UsssZs2rvOsuOJ4qj15mMHhdCk,UCtevzRsHEKhs-RK8pAqwSyQ
Ananda Sangha Worldwide,Q_Ha2Du0saXuWJGo5UsssQ9SWKPbtirylubuXu3_byg,UCEsAG-_-1n9anxCl_ns_xPg
Galeeech,Q_Ha2Du0saUdfSBKjfxoRtZK2BEE8nixzfcYgCaH12M,UCRBEkddXX1-bHPiUVODKKnw
Krish Naik,Q_Ha2Du0saXuWJGo5UsssX0sEYHiwiLepc6IuZa8uAU,UCNU_lfiiWBdtULKOw6X0Dig
WorldofAI,Q_Ha2Du0saUvZlCSPzIwiMJub5TrRub30OVN63ZAf-w,UC2WmuBuFq6gL08QYG-JjXKw
Anujthakur0111,Q_Ha2Du0saXe0qla7XuutodWOgGO_lgyggyJy7atq-s,UCRbkavz0F6PMEtOEI0F4XyQ
Tech.Explain,Q_Ha2Du0saXe0qla7XuutqsI8cf09mXhaKTdAMMIbsU,UCpwyIpdiSrbaISeieVFShKg
Deepak Pundir,Q_Ha2Du0saXYcHaudThkswkGWE5bDipk-KaAKpq3xQA,UCJASupe6amfz9j8mKpJSSHQ
DSwithBappy,Q_Ha2Du0saWF1z_Rf5-95PF4X3sdl6Ai346VeK9n3aY,UCJDWj0B_-Rzi9tdemSzl-bw
The Temple Girl,Q_Ha2Du0saUdfSBKjfxoRpK_UlJUyLCvFHH1_uiw5BQ,UCe41bxv8H7mU9WTWVdVfSEA
Vivek Gupta,Q_Ha2Du0saXhDvSQl7wMbL6iLnNTtwHcnDNx1RZ3fjw,UC_xBkUq2z-rbp2mbZal-0cw
